#skill								TUD					type側			
No	Code	Sort	大分類	Code	Sort	小分類	対象外	TUDでの連携案	大分類	中分類	小分類	メモ	スキルカテゴリ	スキル大分類	中分類	小分類
30		0		30	0	セキュリティコンサルティング	対象外	×			セキュリティコンサルティング		ITエンジニア関連職種	経験業務	システムコンサルティング、プリセールス	セキュリティコンサルティング
31		0		31	0	プリセールス	対象外	×			プリセールス		ITエンジニア関連職種	経験業務	システムコンサルティング、プリセールス	プリセールス
32		0		32	0	システム運用・保守	対象外	×			システム運用・保守		ITエンジニア関連職種	経験業務	システム運用・サポート、その他	システム運用・保守
33		0		33	0	ネットワーク・サーバ運用・保守	対象外	×			ネットワーク・サーバ運用・保守		ITエンジニア関連職種	経験業務	システム運用・サポート、その他	ネットワーク・サーバ運用・保守
34		0		34	0	テクニカルサポート	対象外	×			テクニカルサポート		ITエンジニア関連職種	経験業務	システム運用・サポート、その他	テクニカルサポート
35		0		35	0	システム導入・運用トレーニング	対象外	×			システム導入・運用トレーニング		ITエンジニア関連職種	経験業務	システム運用・サポート、その他	システム導入・運用トレーニング
36		0		36	0	社内SE	対象外	×			社内SE		ITエンジニア関連職種	経験業務	システム運用・サポート、その他	社内SE
37		0		37	0	セールスエンジニア	対象外	×			セールスエンジニア		ITエンジニア関連職種	経験業務	システム運用・サポート、その他	セールスエンジニア
38		0		38	0	PM	対象外	×			PM		ITエンジニア関連職種	経験業務	プロジェクトマネジメント経験	PM
39		0		39	0	PL	対象外	×			PL		ITエンジニア関連職種	経験業務	プロジェクトマネジメント経験	PL
40		0		40	0	Scrum Master	対象外	×			Scrum Master		ITエンジニア関連職種	経験業務	プロジェクトマネジメント経験	Scrum Master
41		0		41	0	PMO	対象外	×			PMO		ITエンジニア関連職種	経験業務	プロジェクトマネジメント経験	PMO
42		0		42	0	財務・会計	対象外	×			財務・会計		ITエンジニア関連職種	経験分野	業種	財務・会計
43		0		43	0	人事・労務	対象外	×			人事・労務		ITエンジニア関連職種	経験分野	業種	人事・労務
44		0		44	0	製造	対象外	×			製造		ITエンジニア関連職種	経験分野	業種	製造
45		0		45	0	流通・小売	対象外	×			流通・小売		ITエンジニア関連職種	経験分野	業種	流通・小売
46		0		46	0	金融	対象外	×			金融		ITエンジニア関連職種	経験分野	業種	金融
47		0		47	0	営業・販売・マーケティング	対象外	×			営業・販売・マーケティング		ITエンジニア関連職種	経験分野	業種	営業・販売・マーケティング
48		0		48	0	通信関係	対象外	×			通信関係		ITエンジニア関連職種	経験分野	業種	通信関係
49		0		49	0	官公庁・公共機関	対象外	×			官公庁・公共機関		ITエンジニア関連職種	経験分野	業種	官公庁・公共機関
50		0		50	0	その他業種	対象外	×			その他業種		ITエンジニア関連職種	経験分野	業種	その他業種
51		0		51	0	自社製品/自社サービス	対象外	×			自社製品/自社サービス		ITエンジニア関連職種	経験分野	業務形態	自社製品/自社サービス
52		0		52	0	受託開発（自社内開発）	対象外	×			受託開発（自社内開発）		ITエンジニア関連職種	経験分野	業務形態	受託開発（自社内開発）
53		0		53	0	受託開発（社外常駐）	対象外	×			受託開発（社外常駐）		ITエンジニア関連職種	経験分野	業務形態	受託開発（社外常駐）
