#skill								TUD					type側			
No	Code	Sort	大分類	Code	Sort	小分類	対象外	TUDでの連携案	大分類	中分類	小分類	メモ	スキルカテゴリ	スキル大分類	中分類	小分類
188		0		188	0	Pylons	対象外	-			Pylons		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Pylons
189		0		189	0	Pyramid	対象外	-			Pyramid		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Pyramid
190		0		190	0	React	対象外	-			React		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	React
191		0		191	0	Revel	対象外	-			Revel		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Revel
192		0		192	0	Riot.js	対象外	-			Riot.js		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Riot.js
193	Grp1	193	技術系（システム・ネットワーク）	193	193	Ruby on Rails		◯	技術系（システム・ネットワーク）	フレームワーク・APIなど	Ruby on Rails		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Ruby on Rails
194		0		194	0	SAStruts	対象外	-			SAStruts		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	SAStruts
195		0		195	0	Sinatra	対象外	-			Sinatra		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Sinatra
196		0		196	0	Slim3	対象外	-			Slim3		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Slim3
197		0		197	0	Smarty	対象外	-			Smarty		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Smarty
198	Grp1	198	技術系（システム・ネットワーク）	198	198	Spring		◯	技術系（システム・ネットワーク）	フレームワーク・APIなど	Spring		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Spring
199		0		199	0	Symfony	対象外	-			Symfony		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Symfony
200		0		200	0	Tornado	対象外	-			Tornado		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Tornado
201	Grp1	201	技術系（システム・ネットワーク）	201	201	Vue.js		◯	技術系（システム・ネットワーク）	フレームワーク・APIなど	Vue.js		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Vue.js
202		0		202	0	Windows Driver Kit	対象外	-			Windows Driver Kit		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Windows Driver Kit
203		0		203	0	Windows SDK	対象外	-			Windows SDK		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Windows SDK
204		0		204	0	Zend Framework	対象外	-			Zend Framework		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	Zend Framework
205		0		205	0	その他フレームワーク・APIなど	対象外	-			その他フレームワーク・APIなど		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	その他フレームワーク・APIなど
206		0		206	0	BIOS	対象外	△			BIOS		ITエンジニア関連職種	開発環境	汎用系・制御系	BIOS
207		0		207	0	COBOL	対象外	△			COBOL		ITエンジニア関連職種	開発環境	汎用系・制御系	COBOL
208		0		208	0	FORTRAN	対象外	△			FORTRAN		ITエンジニア関連職種	開発環境	汎用系・制御系	FORTRAN
209		0		209	0	Pascal	対象外	△			Pascal		ITエンジニア関連職種	開発環境	汎用系・制御系	Pascal
210		0		210	0	PL/I	対象外	△			PL/I		ITエンジニア関連職種	開発環境	汎用系・制御系	PL/I
211		0		211	0	RPG	対象外	△			RPG		ITエンジニア関連職種	開発環境	汎用系・制御系	RPG
212		0		212	0	アセンブラ系言語	対象外	△			アセンブラ系言語		ITエンジニア関連職種	開発環境	汎用系・制御系	アセンブラ系言語
213		0		213	0	その他汎用系・制御系	対象外	△			その他汎用系・制御系		ITエンジニア関連職種	開発環境	汎用系・制御系	その他汎用系・制御系
214		0		214	0	Active Directory	対象外	◯			Active Directory		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	Active Directory
215		0		215	0	Apache	対象外	◯			Apache		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	Apache
216		0		216	0	Apache Hadoop	対象外	◯			Apache Hadoop		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	Apache Hadoop
217		0		217	0	CICS	対象外	×			CICS		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	CICS
218		0		218	0	GlassFish	対象外	×			GlassFish		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	GlassFish
219	Grp1	219	技術系（システム・ネットワーク）	219	219	IIS		◯	技術系（システム・ネットワーク）	ミドルウェア・サーバ	IIS		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	IIS
220		0		220	0	JBoss/WildFly	対象外	×			JBoss/WildFly		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	JBoss/WildFly
221		0		221	0	Microsoft Dynamics	対象外	×			Microsoft Dynamics		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	Microsoft Dynamics
222	Grp1	222	技術系（システム・ネットワーク）	222	222	nginx		◯	技術系（システム・ネットワーク）	ミドルウェア・サーバ	nginx		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	nginx
223		0		223	0	Oracle Application Server/RAC	対象外	×			Oracle Application Server/RAC		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	Oracle Application Server/RAC
224		0		224	0	PowerBuilder	対象外	×			PowerBuilder		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	PowerBuilder
225	Grp1	225	技術系（システム・ネットワーク）	225	225	Tomcat		◯	技術系（システム・ネットワーク）	ミドルウェア・サーバ	Tomcat		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	Tomcat
226		0		226	0	WebLogic	対象外	×			WebLogic		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	WebLogic
227		0		227	0	WebSphere	対象外	×			WebSphere		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	WebSphere
228		0		228	0	XOOPS	対象外	×			XOOPS		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	XOOPS
229		0		229	0	ZOPE	対象外	×			ZOPE		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	ZOPE
230		0		230	0	その他ミドルウェア・サーバ	対象外	×			その他ミドルウェア・サーバ		ITエンジニア関連職種	開発環境	ミドルウェア・サーバ	その他ミドルウェア・サーバ
231	Grp1	231	技術系（システム・ネットワーク）	231	231	AWS		◯	技術系（システム・ネットワーク）	クラウドコンピューティング	AWS		ITエンジニア関連職種	開発環境	クラウドコンピューティング	AWS
232	Grp1	232	技術系（システム・ネットワーク）	232	232	Azure		◯	技術系（システム・ネットワーク）	クラウドコンピューティング	Azure		ITエンジニア関連職種	開発環境	クラウドコンピューティング	Azure
233	Grp1	233	技術系（システム・ネットワーク）	233	233	GCP		◯	技術系（システム・ネットワーク）	クラウドコンピューティング	GCP		ITエンジニア関連職種	開発環境	クラウドコンピューティング	GCP
234	Grp1	234	技術系（システム・ネットワーク）	234	234	Heroku		◯	技術系（システム・ネットワーク）	クラウドコンピューティング	Heroku		ITエンジニア関連職種	開発環境	クラウドコンピューティング	Heroku
235		0		235	0	IBM Cloud	対象外	◯			IBM Cloud		ITエンジニア関連職種	開発環境	クラウドコンピューティング	IBM Cloud
236		0		236	0	その他クラウドコンピューティング	対象外	×			その他クラウドコンピューティング		ITエンジニア関連職種	開発環境	クラウドコンピューティング	その他クラウドコンピューティング
237	Grp1	237	技術系（システム・ネットワーク）	237	237	DB2		◯	技術系（システム・ネットワーク）	データベース	DB2		ITエンジニア関連職種	開発環境	データベース	DB2
238		0		238	0	memcached	対象外	×			memcached		ITエンジニア関連職種	開発環境	データベース	memcached
239		0		239	0	Microsoft Office Access	対象外	×			Microsoft Office Access		ITエンジニア関連職種	開発環境	データベース	Microsoft Office Access
240	Grp1	240	技術系（システム・ネットワーク）	240	240	Microsoft SQL Server		◯	技術系（システム・ネットワーク）	データベース	Microsoft SQL Server		ITエンジニア関連職種	開発環境	データベース	Microsoft SQL Server
241	Grp1	241	技術系（システム・ネットワーク）	241	241	MongoDB		◯	技術系（システム・ネットワーク）	データベース	MongoDB		ITエンジニア関連職種	開発環境	データベース	MongoDB
242	Grp1	242	技術系（システム・ネットワーク）	242	242	MYSQL		◯	技術系（システム・ネットワーク）	データベース	MYSQL		ITエンジニア関連職種	開発環境	データベース	MYSQL
243	Grp1	243	技術系（システム・ネットワーク）	243	243	NoSQL		◯	技術系（システム・ネットワーク）	データベース	NoSQL		ITエンジニア関連職種	開発環境	データベース	NoSQL
244	Grp1	244	技術系（システム・ネットワーク）	244	244	Oracle Database		◯	技術系（システム・ネットワーク）	データベース	Oracle Database		ITエンジニア関連職種	開発環境	データベース	Oracle Database
245	Grp1	245	技術系（システム・ネットワーク）	245	245	PostgreSQL		◯	技術系（システム・ネットワーク）	データベース	PostgreSQL		ITエンジニア関連職種	開発環境	データベース	PostgreSQL
246		0		246	0	Redis	対象外	×			Redis		ITエンジニア関連職種	開発環境	データベース	Redis
247		0		247	0	Sybase	対象外	×			Sybase		ITエンジニア関連職種	開発環境	データベース	Sybase
248		0		248	0	Symfoware Server	対象外	×			Symfoware Server		ITエンジニア関連職種	開発環境	データベース	Symfoware Server
249	Grp1	249	技術系（システム・ネットワーク）	249	249	リレーショナル・データベース		◯	技術系（システム・ネットワーク）	データベース	リレーショナル・データベース		ITエンジニア関連職種	開発環境	データベース	リレーショナル・データベース
250	Grp1	250	技術系（システム・ネットワーク）	250	250	Backlog		◯	技術系（システム・ネットワーク）	ツール・パッケージなど	Backlog		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Backlog
251		0		251	0	Bitbucket	対象外	×			Bitbucket		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Bitbucket
252		252	技術系（システム・ネットワーク）	252	252	Chatwork	対象外	×	技術系（システム・ネットワーク）	ツール・パッケージなど	Chatwork		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Chatwork
253		0		253	0	Confluence	対象外	×			Confluence		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Confluence
254		0		254	0	Ctstage	対象外	×			Ctstage		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Ctstage
255	Grp1	255	技術系（システム・ネットワーク）	255	255	Docker		◯	技術系（システム・ネットワーク）	ツール・パッケージなど	Docker		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Docker
256	Grp1	256	技術系（システム・ネットワーク）	256	256	Git		◯	技術系（システム・ネットワーク）	ツール・パッケージなど	Git		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Git
257		0		257	0	GRANDIT	対象外	×			GRANDIT		ITエンジニア関連職種	開発環境	ツール・パッケージなど	GRANDIT
258		0		258	0	Idobata	対象外	×			Idobata		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Idobata
259	Grp1	259	技術系（システム・ネットワーク）	259	259	Jenkins		◯	技術系（システム・ネットワーク）	ツール・パッケージなど	Jenkins		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Jenkins
260	Grp1	260	技術系（システム・ネットワーク）	260	260	JIRA		◯	技術系（システム・ネットワーク）		JIRA		ITエンジニア関連職種	開発環境	ツール・パッケージなど	JIRA
261		0		261	0	JP1	対象外	×			JP1		ITエンジニア関連職種	開発環境	ツール・パッケージなど	JP1
262		0		262	0	Mercurial	対象外	×			Mercurial		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Mercurial
263		0		263	0	Microsoft Hyper-V	対象外	×			Microsoft Hyper-V		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Microsoft Hyper-V
264		0		264	0	Notes/Domino	対象外	×			Notes/Domino		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Notes/Domino
265		0		265	0	npm	対象外	×			npm		ITエンジニア関連職種	開発環境	ツール・パッケージなど	npm
266		0		266	0	OBIC	対象外	×			OBIC		ITエンジニア関連職種	開発環境	ツール・パッケージなど	OBIC
267		0		267	0	Onyx	対象外	×			Onyx		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Onyx
268	Grp1	268	技術系（システム・ネットワーク）	268	268	Oracle E-Business Suite		◯	技術系（システム・ネットワーク）	ツール・パッケージなど	Oracle E-Business Suite		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Oracle E-Business Suite
269	Grp1	269	技術系（システム・ネットワーク）	269	269	Oracle ERP Cloud		◯	技術系（システム・ネットワーク）		Oracle ERP Cloud		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Oracle ERP Cloud
270		0		270	0	Oracle Siebel CRM	対象外	×			Oracle Siebel CRM		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Oracle Siebel CRM
271		0		271	0	Pivotal Tracker	対象外	×			Pivotal Tracker		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Pivotal Tracker
272		0		272	0	ProActive	対象外	×			ProActive		ITエンジニア関連職種	開発環境	ツール・パッケージなど	ProActive
273	Grp1	273	技術系（システム・ネットワーク）	273	273	Qiita		◯	技術系（システム・ネットワーク）	ツール・パッケージなど	Qiita		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Qiita
274	Grp1	274	技術系（システム・ネットワーク）	274	274	Redmine		◯	技術系（システム・ネットワーク）		Redmine		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Redmine
275	Grp1	275	技術系（システム・ネットワーク）	275	275	SAP HANA		◯	技術系（システム・ネットワーク）		SAP HANA		ITエンジニア関連職種	開発環境	ツール・パッケージなど	SAP HANA
276	Grp1	276	技術系（システム・ネットワーク）	276	276	SAP R/3		◯	技術系（システム・ネットワーク）		SAP R/3		ITエンジニア関連職種	開発環境	ツール・パッケージなど	SAP R/3
277		0		277	0	SAS	対象外	×			SAS		ITエンジニア関連職種	開発環境	ツール・パッケージなど	SAS
278		0		278	0	Senju Family	対象外	×			Senju Family		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Senju Family
279	Grp1	279	技術系（システム・ネットワーク）	279	279	Slack		◯	技術系（システム・ネットワーク）	ツール・パッケージなど	Slack		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Slack
280		0		280	0	SPSS	対象外	×			SPSS		ITエンジニア関連職種	開発環境	ツール・パッケージなど	SPSS
281	Grp1	281	技術系（システム・ネットワーク）	281	281	Subversion		◯	技術系（システム・ネットワーク）	ツール・パッケージなど	Subversion		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Subversion
282		0		282	0	Trello	対象外	×			Trello		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Trello
283	Grp1	283	技術系（システム・ネットワーク）	283	283	Vagrant		◯	技術系（システム・ネットワーク）	ツール・パッケージなど	Vagrant		ITエンジニア関連職種	開発環境	ツール・パッケージなど	Vagrant
284	Grp1	284	技術系（システム・ネットワーク）	284	284	VMware vSphere		◯	技術系（システム・ネットワーク）	ツール・パッケージなど	VMware vSphere		ITエンジニア関連職種	開発環境	ツール・パッケージなど	VMware vSphere
285		0		285	0	WebSAM	対象外	×			WebSAM		ITエンジニア関連職種	開発環境	ツール・パッケージなど	WebSAM
286		0		286	0	その他ツール・パッケージなど	対象外	×			その他ツール・パッケージなど		ITエンジニア関連職種	開発環境	ツール・パッケージなど	その他ツール・パッケージなど
287		0		287	0	研究開発	対象外	×			研究開発		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	研究開発
288		0		288	0	概念設計・基本回路設計	対象外	×			概念設計・基本回路設計		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	概念設計・基本回路設計
289		0		289	0	詳細回路設計	対象外	×			詳細回路設計		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	詳細回路設計
290		0		290	0	アナログ信号処理	対象外	×			アナログ信号処理		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	アナログ信号処理
291		0		291	0	ボード設計・実装設計	対象外	×			ボード設計・実装設計		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	ボード設計・実装設計
292		0		292	0	基本実装設計	対象外	×			基本実装設計		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	基本実装設計
293		0		293	0	詳細実装設計(外装・機構・筐体)	対象外	×			詳細実装設計(外装・機構・筐体)		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	詳細実装設計(外装・機構・筐体)
294		0		294	0	高周波回路設計	対象外	×			高周波回路設計		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	高周波回路設計
295		0		295	0	制御設計	対象外	×			制御設計		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	制御設計
296		0		296	0	光学設計	対象外	×			光学設計		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	光学設計
297		0		297	0	生産技術	対象外	×			生産技術		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	生産技術
298		0		298	0	生産管理・品質管理・品質保証	対象外	×			生産管理・品質管理・品質保証		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	生産管理・品質管理・品質保証
299		0		299	0	サービスエンジニア、サポートエンジニア	対象外	×			サービスエンジニア、サポートエンジニア		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	サービスエンジニア、サポートエンジニア
300		0		300	0	セールスエンジニア	対象外	×			セールスエンジニア		電気・電子・機械・メカトロ関連	経験業務	電気・電子関連	セールスエンジニア
301		0		301	0	研究・開発	対象外	×			研究・開発		電気・電子・機械・メカトロ関連	経験業務	半導体関連	研究・開発
302		0		302	0	システムLSI設計	対象外	×			システムLSI設計		電気・電子・機械・メカトロ関連	経験業務	半導体関連	システムLSI設計
303		0		303	0	デジタルＩＣ設計	対象外	×			デジタルＩＣ設計		電気・電子・機械・メカトロ関連	経験業務	半導体関連	デジタルＩＣ設計
304		0		304	0	アナログ・高周波ＩＣ設計	対象外	×			アナログ・高周波ＩＣ設計		電気・電子・機械・メカトロ関連	経験業務	半導体関連	アナログ・高周波ＩＣ設計
305		0		305	0	パッケージ開発	対象外	×			パッケージ開発		電気・電子・機械・メカトロ関連	経験業務	半導体関連	パッケージ開発
306		0		306	0	プロセス開発・生産技術	対象外	×			プロセス開発・生産技術		電気・電子・機械・メカトロ関連	経験業務	半導体関連	プロセス開発・生産技術
307		0		307	0	生産管理・品質管理・品質保証	対象外	×			生産管理・品質管理・品質保証		電気・電子・機械・メカトロ関連	経験業務	半導体関連	生産管理・品質管理・品質保証
308		0		308	0	サービスエンジニア・ＦＡＥ	対象外	×			サービスエンジニア・ＦＡＥ		電気・電子・機械・メカトロ関連	経験業務	半導体関連	サービスエンジニア・ＦＡＥ
309		0		309	0	セールスエンジニア	対象外	×			セールスエンジニア		電気・電子・機械・メカトロ関連	経験業務	半導体関連	セールスエンジニア
310		0		310	0	通信インフラ設計・構築（有線系）	対象外	×			通信インフラ設計・構築（有線系）		電気・電子・機械・メカトロ関連	経験業務	電気通信関連（通信キャリア）	通信インフラ設計・構築（有線系）
311		0		311	0	通信インフラ設計・構築（無線系）	対象外	×			通信インフラ設計・構築（無線系）		電気・電子・機械・メカトロ関連	経験業務	電気通信関連（通信キャリア）	通信インフラ設計・構築（無線系）
312		0		312	0	通信インフラ施工・保守・運用	対象外	×			通信インフラ施工・保守・運用		電気・電子・機械・メカトロ関連	経験業務	電気通信関連（通信キャリア）	通信インフラ施工・保守・運用
313		0		313	0	サービスエンジニア、サポートエンジニア	対象外	×			サービスエンジニア、サポートエンジニア		電気・電子・機械・メカトロ関連	経験業務	電気通信関連（通信キャリア）	サービスエンジニア、サポートエンジニア
314		0		314	0	ネットワークコンサルティング	対象外	×			ネットワークコンサルティング		電気・電子・機械・メカトロ関連	経験業務	有線通信ネットワーク	ネットワークコンサルティング
315		0		315	0	ネットワーク設計	対象外	×			ネットワーク設計		電気・電子・機械・メカトロ関連	経験業務	有線通信ネットワーク	ネットワーク設計
316		0		316	0	エンジニアリング	対象外	×			エンジニアリング		電気・電子・機械・メカトロ関連	経験業務	有線通信ネットワーク	エンジニアリング
317		0		317	0	設置・テスト	対象外	×			設置・テスト		電気・電子・機械・メカトロ関連	経験業務	有線通信ネットワーク	設置・テスト
318		0		318	0	保守・運用・サポート	対象外	×			保守・運用・サポート		電気・電子・機械・メカトロ関連	経験業務	有線通信ネットワーク	保守・運用・サポート
319		0		319	0	ネットワークコンサルティング	対象外	×			ネットワークコンサルティング		電気・電子・機械・メカトロ関連	経験業務	無線通信ネットワーク	ネットワークコンサルティング
320		0		320	0	ネットワーク設計	対象外	×			ネットワーク設計		電気・電子・機械・メカトロ関連	経験業務	無線通信ネットワーク	ネットワーク設計
321		0		321	0	エンジニアリング	対象外	×			エンジニアリング		電気・電子・機械・メカトロ関連	経験業務	無線通信ネットワーク	エンジニアリング
322		0		322	0	設置・テスト	対象外	×			設置・テスト		電気・電子・機械・メカトロ関連	経験業務	無線通信ネットワーク	設置・テスト
323		0		323	0	保守・運用・サポート	対象外	×			保守・運用・サポート		電気・電子・機械・メカトロ関連	経験業務	無線通信ネットワーク	保守・運用・サポート
324		0		324	0	研究・開発	対象外	×			研究・開発		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	研究・開発
325		0		325	0	概念設計・基本機械設計	対象外	×			概念設計・基本機械設計		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	概念設計・基本機械設計
326		0		326	0	詳細機械設計	対象外	×			詳細機械設計		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	詳細機械設計
327		0		327	0	詳細外装・機構・筐体設計	対象外	×			詳細外装・機構・筐体設計		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	詳細外装・機構・筐体設計
328		0		328	0	基本実装設計	対象外	×			基本実装設計		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	基本実装設計
329		0		329	0	詳細実装設計(機械)	対象外	×			詳細実装設計(機械)		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	詳細実装設計(機械)
330		0		330	0	制御・メカトロ設計	対象外	×			制御・メカトロ設計		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	制御・メカトロ設計
331		0		331	0	工業デザイン	対象外	×			工業デザイン		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	工業デザイン
332		0		332	0	CAD・CAM・CAE	対象外	×			CAD・CAM・CAE		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	CAD・CAM・CAE
333		0		333	0	生産技術	対象外	×			生産技術		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	生産技術
334		0		334	0	生産管理・品質管理・品質保証	対象外	×			生産管理・品質管理・品質保証		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	生産管理・品質管理・品質保証
335		0		335	0	サービスエンジニア、サポートエンジニア	対象外	×			サービスエンジニア、サポートエンジニア		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	サービスエンジニア、サポートエンジニア
336		0		336	0	セールスエンジニア	対象外	×			セールスエンジニア		電気・電子・機械・メカトロ関連	経験業務	機械・メカトロ関連	セールスエンジニア
337		0		337	0	コンピュータハードウェア	対象外	×			コンピュータハードウェア		電気・電子・機械・メカトロ関連	経験分野	コンピュータ・周辺機器・OA機器	コンピュータハードウェア
338		0		338	0	コンピュータ周辺機器	対象外	×			コンピュータ周辺機器		電気・電子・機械・メカトロ関連	経験分野	コンピュータ・周辺機器・OA機器	コンピュータ周辺機器
339		0		339	0	OA機器(コピー・プリンタ等)	対象外	×			OA機器(コピー・プリンタ等)		電気・電子・機械・メカトロ関連	経験分野	コンピュータ・周辺機器・OA機器	OA機器(コピー・プリンタ等)
340		0		340	0	音声機器(オーディオ・ポータブルプレーヤー等)	対象外	×			音声機器(オーディオ・ポータブルプレーヤー等)		電気・電子・機械・メカトロ関連	経験分野	音声・画像機器	音声機器(オーディオ・ポータブルプレーヤー等)
341		0		341	0	映像機器(デジカメ・ビデオ・DVDレコーダー等)	対象外	×			映像機器(デジカメ・ビデオ・DVDレコーダー等)		電気・電子・機械・メカトロ関連	経験分野	音声・画像機器	映像機器(デジカメ・ビデオ・DVDレコーダー等)
342		0		342	0	自動車車載機器(カーナビ・カーAV等)	対象外	×			自動車車載機器(カーナビ・カーAV等)		電気・電子・機械・メカトロ関連	経験分野	音声・画像機器	自動車車載機器(カーナビ・カーAV等)
343		0		343	0	AV機器	対象外	×			AV機器		電気・電子・機械・メカトロ関連	経験分野	音声・画像機器	AV機器
344		0		344	0	生活家電製品（冷蔵庫・掃除機・エアコン等）	対象外	×			生活家電製品（冷蔵庫・掃除機・エアコン等）		電気・電子・機械・メカトロ関連	経験分野	家電・ゲーム機器	生活家電製品（冷蔵庫・掃除機・エアコン等）
345		0		345	0	ゲーム機器、アミューズメント機器	対象外	×			ゲーム機器、アミューズメント機器		電気・電子・機械・メカトロ関連	経験分野	家電・ゲーム機器	ゲーム機器、アミューズメント機器
346		0		346	0	半導体素子	対象外	×			半導体素子		電気・電子・機械・メカトロ関連	経験分野	デバイス・電子部品	半導体素子
347		0		347	0	電子部品(コンデンサ・プリント基板等)	対象外	×			電子部品(コンデンサ・プリント基板等)		電気・電子・機械・メカトロ関連	経験分野	デバイス・電子部品	電子部品(コンデンサ・プリント基板等)
348		0		348	0	表示部品(LCD・PDP・TFT・STN等)	対象外	×			表示部品(LCD・PDP・TFT・STN等)		電気・電子・機械・メカトロ関連	経験分野	デバイス・電子部品	表示部品(LCD・PDP・TFT・STN等)
349		0		349	0	記憶媒体	対象外	×			記憶媒体		電気・電子・機械・メカトロ関連	経験分野	デバイス・電子部品	記憶媒体
350		0		350	0	デジタルIC(メモリ)	対象外	×			デジタルIC(メモリ)		電気・電子・機械・メカトロ関連	経験分野	半導体関連	デジタルIC(メモリ)
351		0		351	0	デジタルIC(ロジック)	対象外	×			デジタルIC(ロジック)		電気・電子・機械・メカトロ関連	経験分野	半導体関連	デジタルIC(ロジック)
352		0		352	0	アナログ・高周波IC	対象外	×			アナログ・高周波IC		電気・電子・機械・メカトロ関連	経験分野	半導体関連	アナログ・高周波IC
353		0		353	0	化合物半導体	対象外	×			化合物半導体		電気・電子・機械・メカトロ関連	経験分野	半導体関連	化合物半導体
354		0		354	0	ウエハ製造装置	対象外	×			ウエハ製造装置		電気・電子・機械・メカトロ関連	経験分野	半導体製造装置(液晶含む)	ウエハ製造装置
355		0		355	0	前工程装置(ウエハ処理/CVD・エッチング・露光等)	対象外	×			前工程装置(ウエハ処理/CVD・エッチング・露光等)		電気・電子・機械・メカトロ関連	経験分野	半導体製造装置(液晶含む)	前工程装置(ウエハ処理/CVD・エッチング・露光等)
356		0		356	0	後工程装置(ダイシング・ボンディング・パッケージング等)	対象外	×			後工程装置(ダイシング・ボンディング・パッケージング等)		電気・電子・機械・メカトロ関連	経験分野	半導体製造装置(液晶含む)	後工程装置(ダイシング・ボンディング・パッケージング等)
357		0		357	0	ウエハ・IC検査装置	対象外	×			ウエハ・IC検査装置		電気・電子・機械・メカトロ関連	経験分野	半導体製造装置(液晶含む)	ウエハ・IC検査装置
358		0		358	0	クリーンルーム設備	対象外	×			クリーンルーム設備		電気・電子・機械・メカトロ関連	経験分野	半導体製造装置(液晶含む)	クリーンルーム設備
359		0		359	0	計測・検査・制御機器	対象外	×			計測・検査・制御機器		電気・電子・機械・メカトロ関連	経験分野	計測・検査・制御機器	計測・検査・制御機器
360		0		360	0	有線通信機器	対象外	×			有線通信機器		電気・電子・機械・メカトロ関連	経験分野	通信機器・設備	有線通信機器
361		0		361	0	無線通信機器	対象外	×			無線通信機器		電気・電子・機械・メカトロ関連	経験分野	通信機器・設備	無線通信機器
362		0		362	0	携帯端末機器	対象外	×			携帯端末機器		電気・電子・機械・メカトロ関連	経験分野	通信機器・設備	携帯端末機器
363		0		363	0	ルータ・ハブ等	対象外	×			ルータ・ハブ等		電気・電子・機械・メカトロ関連	経験分野	通信機器・設備	ルータ・ハブ等
364		0		364	0	光ファイバー関連	対象外	×			光ファイバー関連		電気・電子・機械・メカトロ関連	経験分野	通信機器・設備	光ファイバー関連
365		0		365	0	通信・放送設備	対象外	×			通信・放送設備		電気・電子・機械・メカトロ関連	経験分野	通信機器・設備	通信・放送設備
